"game_id","team_id","HoA","won","settled_in","head_coach","goals","shots","hits","pim","powerPlayOpportunities","powerPlayGoals","faceOffWinPercentage","giveaways","takeaways"
"2012030221","3","away",FALSE,"OT","John Tortorella",2,35,44,8,3,0,44.8,17,7
"2012030221","6","home",TRUE,"OT","Claude Julien",3,48,51,6,4,1,55.2,4,5
"2012030223","6","away",TRUE,"REG","Claude Julien",2,34,28,6,0,0,61.8,10,7
"2012030223","3","home",FALSE,"REG","John Tortorella",1,24,37,2,2,0,38.2,7,9
"2012020179","3","away",TRUE,"SO","John Tortorella",3,29,31,8,4,0,42.2,7,6
"2012020179","6","home",FALSE,"SO","Claude Julien",3,40,32,8,4,0,57.8,12,6
"2012020037","6","away",FALSE,"OT","Claude Julien",3,29,20,17,5,1,67.9,7,2
"2012020037","3","home",TRUE,"OT","John Tortorella",4,33,28,17,5,0,32.1,4,2
"2016030232","18","away",FALSE,"REG","Peter Laviolette",2,24,33,23,0,0,45.5,3,4
"2016030232","19","home",TRUE,"REG","Mike Yeo",3,20,24,2,5,1,54.5,7,4
"2016030233","19","away",FALSE,"REG","Mike Yeo",1,23,30,12,1,0,38.1,6,7
"2016030233","18","home",TRUE,"REG","Peter Laviolette",3,34,34,8,3,0,61.9,20,5
"2016020267","18","away",FALSE,"REG","Peter Laviolette",1,31,29,6,3,1,49.1,2,2
"2016020267","19","home",TRUE,"REG","Ken Hitchcock",3,34,18,6,3,0,50.9,3,7
"2016020437","19","away",FALSE,"REG","Ken Hitchcock",3,26,18,6,1,1,53.1,6,3
"2016020437","18","home",TRUE,"REG","Peter Laviolette",6,36,16,4,2,0,46.9,16,7
